암호화요양기호,유형코드명
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,건강보험
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,건강보험(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkMzgxMTkxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNTEjJDEjJDYjJDgz,의료급여(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,건강보험
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,건강보험(환자수)
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQxIyQxIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,의료급여(환자수)
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,건강보험
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjNDEjJDEjJDQjJDgz,의료급여
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,건강보험
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,의료급여
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,의사인력
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjNTEjJDEjJDYjJDgz,간호인력
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQwMyQyNjEwMDIjNTEjJDEjJDYjJDgz,건강보험
