암호화요양기호,시도코드명
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQyNjEwMDIjNzEjJDEjJDgjJDgz,경기
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzIxIyQyIyQxIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,경기
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxMzUxIzUxIyQxIyQxIyQ5MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjE0ODEjNTEjJDEjJDIjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQyNjEyMjIjNTEjJDEjJDYjJDgz,경기
JDU4MTI3MSM1MSMkMSMkMCMkMTMkMzgxNzAyIzUxIyQyIyQxIyQwMCQyNjEwMDIjNTEjJDEjJDYjJDgz,경기
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzUxIyQxIyQ1IyQwMyQzNjE4MzIjNjEjJDEjJDAjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQxMyQ0NjE0ODEjODEjJDEjJDYjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQzIyQ2MiQzNjE0ODEjODEjJDEjJDIjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQxMyQzNjEwMDIjODEjJDEjJDIjJDgz,경기
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,경기
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNTgxOTYxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNjEjJDEjJDQjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ2MiQzNjEwMDIjNTEjJDEjJDIjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQyIyQ1IyQwMCQzNjE4MzIjNjEjJDEjJDAjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ3OSQ0NjE0ODEjODEjJDEjJDIjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3OSQyNjE0ODEjNjEjJDEjJDAjJDgz,경기
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,경기
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQxIyQxMyQzNjEyMjIjNTEjJDEjJDIjJDgz,경기
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjEyMjIjODEjJDEjJDIjJDgz,경기
