암호화요양기호,진료과목코드명
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ4MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQyNjEwMDIjNjEjJDEjJDAjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ5MiQyNjE4MzIjNTEjJDEjJDIjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQ0NjE0ODEjNjEjJDEjJDAjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQyNjEwMDIjNzEjJDEjJDgjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQyIyQ1IyQwMCQzNjEwMDIjNDEjJDEjJDQjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ5OSQyNjEyMjIjODEjJDEjJDIjJDgz,내과
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ4MiQyNjE4MzIjNjEjJDEjJDQjJDgz,내과
